index,clusters_anno,DC1,DC2
25619_3.3,AVE,-0.08386923,-0.14497419
25619_3.6,emVE,0.12773179,0.008938242
25619_3.7,AVE,-0.09758478,-0.1145712
25619_3.10,emVE,0.09742711,0.0036155086
25619_3.33,AVE,-0.100235075,0.13471504
25619_3.34,AVE,-0.04676275,0.0783465
25619_3.38,AVE,-0.11818604,-0.033975907
25619_3.46,emVE,0.11794497,0.00582354
25619_3.69,AVE,-0.10212055,-0.0906762
25619_3.74,AVE,-0.12183981,-0.004157563
25619_3.76,emVE,0.12447862,0.007085756
25619_3.77,AVE,-0.13749982,0.24320687
25619_3.79,emVE,0.10439528,0.02326036
25619_3.82,emVE,0.0912769,0.018022306
25619_3.84,AVE,0.031323455,0.020350829
25619_3.90,emVE,0.12857765,0.009013768
25619_3.92,AVE,-0.057803646,-0.0825586
25619_3.99,AVE,-0.07594923,-0.1290798
25619_3.100,emVE,0.11301636,0.010120407
25619_3.101,AVE,-0.12390398,0.16086844
25619_3.102,AVE,-0.12712628,0.21153514
25619_3.103,AVE,-0.08411413,-0.13504514
25619_3.104,AVE,-0.110215195,-0.106551856
25619_3.105,emVE,0.121830024,0.020814704
25619_3.108,emVE,0.094739325,0.015517507
25619_3.110,AVE,-0.13333555,0.2053386
25619_3.111,emVE,0.10640258,0.025540158
25619_3.117,AVE,-0.1314677,0.15265514
25619_3.122,AVE,-0.10791116,-0.12710391
25619_3.124,AVE,-0.02449004,-0.11025406
25619_3.127,emVE,0.120732956,0.019939268
25619_3.130,AVE,-0.0926774,-0.12406362
25619_3.135,emVE,0.12926196,0.01233949
25619_3.138,AVE,0.041007325,-0.0004605404
25619_3.151,emVE,0.12887305,0.016595764
25619_3.152,AVE,0.031118356,0.0056930645
25619_3.155,emVE,0.12259818,0.009109096
25619_3.156,AVE,-0.020910388,0.015558943
25619_3.157,AVE,0.06358746,0.023691054
25619_3.158,AVE,-0.11148362,0.19284827
25619_3.162,emVE,0.11876092,0.00944287
25619_3.173,AVE,-0.031717405,-0.026460025
25619_3.176,AVE,-0.134349,0.14228049
25619_3.177,emVE,0.10520878,-6.724752e-05
25619_3.182,AVE,-0.066915795,-0.076632336
25619_3.191,AVE,-0.016646942,0.045713693
25619_3.193,AVE,-0.06917827,-0.14638278
25619_3.195,emVE,0.076384135,0.021864202
25619_3.201,AVE,0.06440546,0.021860575
25619_3.202,AVE,0.04297028,0.02949176
25619_3.214,emVE,0.12731065,0.017679034
25619_3.215,AVE,-0.08825929,-0.1396527
25619_3.219,AVE,-0.10233794,-0.12782282
25619_3.221,emVE,0.093938604,0.021027053
25619_3.222,emVE,0.1283059,0.0114055
25619_3.223,AVE,-0.110296965,-0.10177518
25619_3.226,emVE,0.12278311,0.012129185
25619_3.228,emVE,0.122103214,0.011443985
25619_3.229,emVE,0.10006587,0.010035819
25619_3.230,emVE,0.08949798,0.01650337
25619_3.236,AVE,-0.09486799,-0.14057222
25619_3.242,AVE,-0.0692481,-0.14768936
25619_3.244,emVE,0.08340838,0.02609186
25619_3.250,AVE,0.08755705,0.0033440827
25619_3.252,AVE,0.069687925,0.019541942
25619_3.260,emVE,0.12056075,0.004139504
25619_3.262,AVE,-0.10776493,-0.1228168
25619_3.266,AVE,-0.08523042,-0.05522142
25619_3.267,AVE,-0.07869401,-0.10530219
25619_3.270,emVE,0.098463215,0.021659257
25619_3.271,AVE,-0.09117351,-0.14368568
25619_3.274,AVE,-0.10894481,-0.09909976
25619_3.277,AVE,0.07899988,0.022054192
25619_3.288,emVE,0.12189449,0.009627788
25619_3.293,emVE,0.122159824,0.021476816
25619_3.294,emVE,0.043543216,-0.023733787
25619_3.299,emVE,0.106104,0.008997325
25619_3.300,AVE,-0.090522796,-0.14843011
25619_3.301,AVE,-0.06757209,-0.1430965
25619_3.302,AVE,-0.13398889,0.24148673
25619_3.304,AVE,0.051498104,0.020830456
25619_3.317,AVE,-0.1369465,0.23474187
25619_3.318,emVE,0.08767487,0.013930216
25619_3.320,AVE,-0.124699466,0.071648724
25619_3.323,emVE,0.10531871,-0.011617315
25619_3.325,AVE,-0.08769375,-0.085805796
25619_3.329,emVE,0.12771507,0.015953027
25619_3.330,emVE,0.06067683,-0.047596183
25619_3.341,AVE,-0.057297926,0.10624048
25619_3.345,AVE,-0.12288553,0.2107826
25619_3.349,AVE,-0.1339912,0.24176386
25619_3.350,AVE,-0.10508072,-0.062463168
25619_3.360,AVE,0.02196597,-0.03509401
25619_3.362,emVE,0.11310148,0.00712618
25619_3.367,AVE,-0.07403292,-0.10729033
25619_3.370,AVE,-0.080250934,0.0954248
25619_3.371,AVE,-0.08359691,-0.11353629
25619_3.372,AVE,-0.070078455,-0.1269206
25619_3.373,emVE,0.10183457,0.018198615
25619_3.376,AVE,-0.048613243,-0.10258065
25619_3.378,AVE,-0.1078963,0.20551209
25619_3.379,emVE,0.120520905,0.0027080525
